年度,類別,主辦國,參加國,屆別,成績,排名
1991,亞太數學奧林匹亞,,未紀錄,3,1金2銀4銅3榮譽,
1991,國際數學奧林匹亞,瑞典,未紀錄,32,觀察國,
1991,國際化學奧林匹亞,波蘭,30,23,觀察國,
1992,亞太數學奧林匹亞,,未紀錄,4,1金2銀4銅3榮譽,
1992,國際數學奧林匹亞,莫斯科,未紀錄,33,3銀2銅,第17名
1992,國際化學奧林匹亞,美國,33,24,1金1銀1銅,第6名
1993,亞太數學奧林匹亞,,未紀錄,5,1金2銀4銅3榮譽,
1993,國際數學奧林匹亞,土耳其,未紀錄,34,1金4銀1銅,第5名
1993,國際化學奧林匹亞,義大利,38,25,2金2銀,第1名
1993,國際物理奧林匹亞,美國,未紀錄,24,觀察國,
1994,亞太數學奧林匹亞,,未紀錄,6,1金2銀4銅3榮譽,
1994,國際數學奧林匹亞,香港,未紀錄,35,4銀1銅1榮譽,第13名
1994,國際化學奧林匹亞,挪威,41,26,3銀1銅,第8名
1994,國際物理奧林匹亞,大陸,47,25,1銅1榮譽,第17名
1994,國際資訊奧林匹亞,瑞典,50,6,1銀2銅,無團體成績
1995,亞太數學奧林匹亞,,未紀錄,7,1金2銀4銅3榮譽,
1995,國際數學奧林匹亞,加拿大,73,36,4銀1銅1榮譽,第12名
1995,國際化學奧林匹亞,大陸,42,27,3銀1銅,第13名
1995,國際物理奧林匹亞,澳洲,51,26,1銀1銅3榮譽,第17名
1995,國際資訊奧林匹亞,荷蘭,51,7,3銀,第10名
1996,亞太數學奧林匹亞,,未紀錄,8,1金2銀4銅3榮譽,
1996,國際數學奧林匹亞,印度,73,37,2銀3銅1榮譽,第12名
1996,國際化學奧林匹亞,俄羅斯,45,28,1金2銀1銅,第7名
1996,國際物理奧林匹亞,挪威,55,27,2金2銀1銅,第6名
1996,國際資訊奧林匹亞,匈牙利,64,8,3銀1銅,第6名
1997,亞太數學奧林匹亞,,未紀錄,9,1金2銀4銅3榮譽,
1997,國際數學奧林匹亞,阿根廷,80,38,4銀2銅,第14名
1997,國際化學奧林匹亞,加拿大,48,29,2金1銀1銅,第1名
1997,國際物理奧林匹亞,加拿大,56,28,2銀2銅1榮譽,第15名
1997,國際資訊奧林匹亞,南非,57,9,1金2銀,第8名
1998,亞太數學奧林匹亞,,未紀錄,10,1金2銀4銅3榮譽,
1998,國際數學奧林匹亞,中華民國,80,39,3金2銀1銅,第5名
1998,國際化學奧林匹亞,澳大利亞,47,30,1金2銀1銅,第8名
1998,國際物理奧林匹亞,冰島,56,29,1銀2銅2榮譽,第12名
1998,國際資訊奧林匹亞,葡萄牙,66,10,2銀2銅,無團體成績
1998,國際生物奧林匹亞,德國,未紀錄,9,,觀察國
1999,亞太數學奧林匹亞,,未紀錄,11,1金2銀4銅3榮譽,
1999,國際數學奧林匹亞,羅馬尼亞,81,40,1金5銀,第9名
1999,國際化學奧林匹亞,泰國,51,31,2金1銀1銅,第5名
1999,國際物理奧林匹亞,義大利,62,30,2金2銀1銅,第7名
1999,國際資訊奧林匹亞,土耳其,65,11,1銀3銅,無團體成績
1999,國際生物奧林匹亞,瑞典,36,10,3金1銀,第2名
2000,亞太數學奧林匹亞,,未紀錄,12,1金2銀4銅3榮譽,
2000,亞洲物理奧林匹亞,印尼,10,1,3金4銀1銅,第2名
2000,國際數學奧林匹亞,韓國,82,41,3金2銀1銅,第8名
2000,國際化學奧林匹亞,丹麥,52,32,2金2銀,第3名
2000,國際物理奧林匹亞,英國,63,31,2金2銅1榮譽,第6名
2000,國際資訊奧林匹亞,大陸,70,12,3銀1銅,無團體成績
2000,國際生物奧林匹亞,土耳其,38,11,3金1銀,第2名
2001,亞太數學奧林匹亞,,未紀錄,13,1金2銀4銅3榮譽,
2001,亞洲物理奧林匹亞,中華民國,12,2,4金1銀2銅1榮譽,第1名
2001,國際數學奧林匹亞,美國,83,42,1金5銀,第9名
2001,國際化學奧林匹亞,印度,54,33,4銀,第9名
2001,國際物理奧林匹亞,土耳其,65,32,2金1銀2銅,第5名
2001,國際資訊奧林匹亞,芬蘭,73,13,1銀1銅,無團體成績
2001,國際生物奧林匹亞,比利時,38,12,2金2銀,第1名
2002,亞太數學奧林匹亞,,未紀錄,14,1金2銀4銅3榮譽,
2002,亞洲物理奧林匹亞,新加坡,15,3,3金2銀2銅1榮譽,第2名
2002,國際數學奧林匹亞,英國,84,43,1金4銀1銅,第7名
2002,國際化學奧林匹亞,荷蘭,57,34,2金2銀,第3名
2002,國際物理奧林匹亞,印尼,67,33,3金1銀1銅,第7名
2002,國際資訊奧林匹亞,韓國,77,14,1金2銀1銅,無團體成績
2002,國際生物奧林匹亞,拉脫維亞,41,13,3金1銀,第3名
2003,亞太數學奧林匹亞,加拿大,17,15,1金2銀4銅3榮譽,第2名
2003,亞洲物理奧林匹亞,泰國,10,4,4金2銀2銅,第1名
2003,國際數學奧林匹亞,日本,82,44,1金2銀2銅1榮譽,第16名
2003,國際化學奧林匹亞,希臘,59,35,1金2銀1銅,第10名
2003,國際物理奧林匹亞,中華民國,54,34,3金1銀1銅,第3名
2003,國際資訊奧林匹亞,美國,77,15,1金1銀1銅,無團體成績
2003,國際生物奧林匹亞,白俄羅斯,47,14,1金2銀1銅,第8名
2004,亞太數學奧林匹亞,加拿大,19,16,1金2銀4銅3榮譽,第4名
